Age,Experience,Department,Position,Education,Salary
52,10,Finance,Director,Bachelors,134068
26,29,Sales,Consultant,PhD,146295
52,30,IT,Director,Bachelors,217390
24,23,HR,Consultant,Bachelors,134131
31,8,Sales,Manager,Masters,106718
37,2,HR,Manager,Bachelors,66933
58,30,Finance,Director,Masters,224038
44,23,HR,VP,Masters,242182
25,30,Finance,Director,Masters,204028
54,5,IT,Consultant,PhD,78281
26,1,Finance,Director,PhD,85605
42,19,Finance,Analyst,PhD,131782
31,27,Operations,Consultant,PhD,134881
36,10,Sales,Consultant,Bachelors,69098
53,3,Sales,VP,Bachelors,158310
29,14,IT,Manager,PhD,124822
26,5,IT,Consultant,Bachelors,75955
36,29,Sales,Manager,Bachelors,174207
49,1,Operations,Director,Masters,110293
23,14,Sales,Analyst,Masters,69592
40,10,Operations,VP,Masters,188220
56,7,IT,Manager,Masters,104514
39,25,HR,Consultant,Bachelors,167510
46,4,IT,Manager,PhD,77549
23,5,IT,Consultant,Bachelors,63531
39,25,Finance,Manager,Bachelors,154685
40,3,Finance,Consultant,Bachelors,57271
52,18,Finance,Director,Masters,163776
27,19,Finance,Consultant,Masters,111949
53,32,Operations,Consultant,Masters,188797
59,19,Sales,Analyst,PhD,121217
38,11,HR,Consultant,Bachelors,112233
21,0,IT,Analyst,PhD,20850
31,25,Operations,VP,Masters,246122
48,13,HR,Analyst,PhD,111323
45,10,Operations,Director,Bachelors,125451
43,12,Operations,Analyst,Bachelors,87122
51,2,IT,VP,Masters,138227
50,32,Sales,Director,Masters,251454
55,5,Finance,Manager,PhD,113969
27,9,Sales,Manager,Masters,115048
36,4,IT,Analyst,Masters,57782
46,22,IT,Analyst,Bachelors,139454
22,9,IT,VP,Masters,149368
21,1,HR,VP,Masters,130092
32,12,Sales,Consultant,Bachelors,96173
25,1,Sales,VP,Bachelors,149704
57,19,Operations,Consultant,PhD,150096
52,0,Operations,Director,Masters,120324
29,8,Operations,Analyst,Bachelors,70364
55,16,IT,Director,PhD,182250
39,8,Sales,VP,PhD,162076
36,10,IT,Director,Masters,134566
23,14,HR,Director,Masters,134690
40,23,Operations,Director,PhD,195071
44,34,IT,VP,Bachelors,296333
53,29,IT,Director,PhD,217869
44,30,HR,Consultant,Masters,176035
31,4,Finance,VP,Bachelors,133089
28,13,Sales,Director,Bachelors,151235
56,10,Finance,VP,PhD,168159
58,8,Operations,Manager,Masters,103145
40,33,IT,Consultant,PhD,177373
55,11,HR,Director,PhD,163421
45,34,HR,Manager,PhD,227823
55,34,Sales,Manager,Bachelors,209737
45,0,Finance,VP,Bachelors,130744
49,21,Sales,Manager,Masters,153243
38,28,IT,Consultant,Masters,172566
38,7,Sales,Consultant,PhD,75691
22,10,HR,Analyst,PhD,84996
55,13,HR,Consultant,PhD,95090
36,29,Operations,Manager,Masters,169585
56,34,Operations,Consultant,Bachelors,183227
53,20,IT,VP,Bachelors,234778
24,4,Finance,Analyst,PhD,66814
53,18,Sales,Manager,PhD,140737
34,13,IT,Analyst,PhD,84649
41,25,Operations,Manager,PhD,188213
40,3,Sales,VP,Masters,139927
28,24,Operations,Analyst,Bachelors,117016
27,24,Sales,Director,PhD,183527
23,17,Finance,Manager,Masters,133642
37,7,IT,Director,PhD,130045
53,13,Sales,Analyst,PhD,110397
32,31,HR,Director,Bachelors,203167
42,32,HR,Director,PhD,235917
42,22,Sales,Analyst,Bachelors,131736
50,14,Sales,VP,Bachelors,208990
58,32,Sales,Director,Bachelors,231087
58,24,HR,Director,Masters,207440
28,16,HR,VP,Masters,213205
47,32,Sales,Director,Bachelors,226775
47,1,Operations,Director,PhD,92776
54,13,Operations,Director,Bachelors,176496
41,5,Finance,Consultant,PhD,69508
50,5,IT,VP,Bachelors,150738
53,2,Operations,Director,PhD,126902
48,6,HR,VP,Masters,153793
53,7,Operations,Manager,PhD,121791
25,14,Finance,Manager,Bachelors,104071
39,28,Finance,Director,Masters,222831
24,32,IT,VP,PhD,256209
55,29,Operations,VP,PhD,268894
37,26,HR,VP,PhD,248182
48,28,HR,Consultant,PhD,148224
50,32,Sales,Manager,PhD,215441
49,26,HR,VP,Masters,267629
26,32,IT,VP,Masters,275716
55,3,IT,Consultant,Masters,76086
57,21,HR,Consultant,Masters,145978
44,1,HR,VP,Bachelors,132318
49,9,Sales,Analyst,Masters,89194
51,4,HR,VP,PhD,161680
55,9,Sales,VP,PhD,175680
53,32,Sales,Consultant,Masters,197502
41,12,HR,Consultant,PhD,93872
52,30,Finance,VP,Masters,275796
43,23,Finance,VP,PhD,237927
53,14,Sales,VP,Bachelors,215790
23,28,HR,Consultant,Bachelors,161599
38,7,Finance,VP,Masters,156821
45,4,HR,VP,Masters,144332
51,28,HR,Director,Masters,210320
23,3,HR,Analyst,PhD,39711
44,11,Operations,Manager,Masters,135890
52,1,HR,Analyst,Bachelors,35842
42,26,Operations,Director,PhD,186316
43,30,Sales,Manager,Masters,189008
22,25,Finance,VP,PhD,233005
47,26,Finance,Director,PhD,202706
22,4,Finance,VP,Masters,145971
46,19,Finance,Consultant,PhD,134599
37,10,Finance,Director,Bachelors,140556
53,9,Finance,Consultant,Bachelors,73878
29,5,Finance,Director,PhD,96019
59,7,Sales,Director,Masters,139661
49,22,HR,Consultant,PhD,161361
46,25,IT,Manager,Bachelors,158355
55,11,Operations,Analyst,PhD,80583
45,25,IT,VP,PhD,260842
44,12,IT,Director,Bachelors,150456
33,17,HR,VP,PhD,197824
27,24,HR,Consultant,PhD,121757
56,32,HR,VP,Masters,283364
40,11,Finance,Consultant,Masters,98972
21,3,Sales,VP,Bachelors,149154
28,4,Finance,Analyst,Bachelors,45233
36,7,Sales,Analyst,Bachelors,61887
34,27,Sales,Analyst,Masters,154320
32,30,IT,Analyst,Bachelors,156808
43,8,IT,Analyst,Bachelors,83654
35,28,Sales,Analyst,Bachelors,164273
48,13,Sales,Consultant,Masters,113747
54,21,Finance,Director,PhD,181860
22,10,Finance,VP,Bachelors,169156
52,22,IT,Analyst,PhD,134360
43,0,HR,Consultant,Bachelors,49635
42,20,Sales,Consultant,PhD,136351
45,25,Finance,Consultant,Masters,162999
42,22,IT,Director,Masters,192554
42,0,Finance,VP,Bachelors,140604
26,14,Sales,Director,PhD,145923
35,20,Sales,Manager,Masters,136047
57,8,Operations,Consultant,Bachelors,103502
53,8,HR,Manager,Bachelors,103062
28,9,Operations,Analyst,Masters,57480
25,25,IT,Analyst,Masters,139172
59,34,Finance,Director,Bachelors,229713
24,24,IT,VP,PhD,218293
26,25,Sales,Manager,PhD,177441
52,10,Operations,VP,PhD,168100
50,1,Operations,Director,Bachelors,117172
55,6,Operations,Analyst,Masters,71632
36,17,IT,VP,Bachelors,204199
33,26,Sales,VP,Masters,257109
50,33,Finance,Analyst,PhD,165016
39,26,Finance,Manager,PhD,193279
37,16,IT,Analyst,Masters,119761
39,23,Operations,VP,Masters,243381
48,24,HR,Manager,Bachelors,167058
46,6,IT,Manager,PhD,101472
57,5,IT,Analyst,Bachelors,83426
46,23,Sales,VP,Bachelors,249832
43,32,Finance,Director,Bachelors,245521
29,28,IT,VP,PhD,250587
32,21,IT,Consultant,Bachelors,122828
21,25,Operations,Director,Bachelors,201628
21,27,Operations,Manager,Bachelors,149901
54,20,HR,Director,Bachelors,186643
52,6,Sales,Manager,Bachelors,95193
45,16,HR,Manager,Bachelors,143353
21,19,Operations,Director,PhD,166807
36,19,Finance,Manager,Bachelors,160982
59,21,Operations,Manager,Masters,163111
25,27,Sales,Consultant,Bachelors,142450
42,6,Operations,VP,Bachelors,155704
49,0,Sales,VP,PhD,136367
23,31,Sales,Consultant,PhD,148245
32,12,Sales,Director,Masters,127866
46,29,Sales,Analyst,Masters,171245
36,22,Sales,Analyst,PhD,111818
57,18,Finance,Analyst,PhD,130616
42,31,HR,Consultant,Bachelors,170493
49,29,IT,Consultant,PhD,178538
34,28,HR,Manager,Masters,179447
48,28,Sales,Analyst,Bachelors,166431
25,29,Finance,Director,Masters,206408
50,15,Operations,Director,Bachelors,174336
25,18,Finance,Analyst,PhD,88525
32,17,Sales,Analyst,Masters,104093
36,0,Finance,Analyst,Bachelors,24155
46,13,Finance,Consultant,Bachelors,118487
46,1,Sales,Consultant,PhD,57963
41,27,Finance,Consultant,PhD,159436
59,29,IT,VP,PhD,249926
56,3,IT,Director,Masters,123303
53,0,Finance,Director,Bachelors,114106
50,7,Operations,Manager,PhD,111151
57,28,Sales,Consultant,Masters,164267
43,2,IT,VP,Masters,140808
30,31,Operations,VP,Masters,263770
25,9,Finance,Director,PhD,137072
56,9,Operations,Consultant,PhD,76204
54,18,HR,Manager,Bachelors,156233
51,33,IT,Consultant,Bachelors,189229
30,32,Finance,Analyst,PhD,174131
39,22,Sales,Consultant,Masters,151370
52,27,Finance,Analyst,Masters,172011
21,31,Sales,Analyst,Masters,173882
25,6,Finance,Manager,Bachelors,88107
24,28,Operations,Director,Masters,208968
36,7,Operations,Consultant,Bachelors,89398
44,0,Operations,Analyst,Bachelors,33908
36,2,HR,Consultant,Masters,62423
22,23,Sales,Director,Masters,172171
48,22,Operations,Director,PhD,184721
52,7,HR,VP,PhD,170616
47,2,Sales,Director,Masters,129958
40,32,Finance,Manager,Bachelors,185659
44,27,HR,Analyst,Bachelors,141704
32,7,IT,VP,Bachelors,176793
55,33,HR,Manager,Bachelors,220726
53,34,HR,Consultant,Bachelors,196352
53,31,Sales,Analyst,PhD,182582
57,23,Finance,Director,Masters,203294
32,13,IT,Analyst,PhD,81379
23,31,Operations,Consultant,Bachelors,152506
21,15,Operations,VP,Bachelors,179182
53,3,HR,VP,Bachelors,172340
30,20,Sales,VP,Bachelors,227430
49,13,Sales,Director,Masters,159591
33,30,Operations,Manager,Bachelors,199483
32,17,IT,Manager,Masters,137989
51,6,Finance,Analyst,Bachelors,59415
22,9,IT,Director,Masters,125990
55,6,Finance,VP,PhD,176234
43,32,Operations,VP,Bachelors,264324
37,22,Finance,Consultant,Masters,152581
46,20,Sales,Consultant,PhD,124033
28,18,HR,VP,Bachelors,202241
49,18,HR,VP,Bachelors,202439
46,28,Operations,Director,Bachelors,230063
30,17,Sales,Manager,Masters,147464
46,1,IT,Consultant,Masters,48185
54,0,Sales,Manager,PhD,84045
27,4,HR,Director,Masters,108667
24,19,HR,VP,Masters,224412
31,10,Sales,Manager,Bachelors,107125
49,1,Sales,VP,Bachelors,167688
56,2,HR,VP,Bachelors,163076
45,22,IT,Analyst,Bachelors,129529
41,11,Operations,Manager,Bachelors,117473
56,19,Operations,Manager,Bachelors,173121
30,4,Sales,VP,Bachelors,162433
57,29,Operations,Director,PhD,206432
29,8,HR,Analyst,PhD,48257
44,33,HR,VP,PhD,284722
55,34,Sales,Consultant,PhD,211353
55,21,Sales,Consultant,Bachelors,159905
56,23,Sales,Analyst,PhD,121116
38,16,IT,Director,Bachelors,154691
59,9,Operations,VP,PhD,165992
52,29,Sales,Manager,Masters,199882
44,22,Finance,Analyst,PhD,118811
43,31,Finance,Director,PhD,233308
52,16,HR,Manager,Bachelors,144272
57,16,Operations,Consultant,PhD,130899
32,13,Sales,Consultant,Masters,84474
33,8,Finance,Manager,Bachelors,105456
43,1,Operations,Analyst,Bachelors,39479
45,24,HR,Consultant,PhD,156828
55,8,IT,VP,Bachelors,172367
50,21,Operations,Manager,Bachelors,164851
37,3,Operations,Manager,Bachelors,91779
40,25,IT,Consultant,Bachelors,160527
45,28,Operations,Analyst,Bachelors,142366
42,33,HR,VP,Bachelors,268449
33,22,HR,Analyst,Masters,115185
39,10,IT,Director,PhD,143044
56,5,Sales,Director,Masters,113451
32,17,Finance,Consultant,Bachelors,115642
39,20,Sales,Consultant,Bachelors,149454
32,33,Operations,Consultant,PhD,196870
29,16,Finance,Director,Masters,169530
27,24,IT,Analyst,PhD,140373
48,11,IT,Analyst,Masters,68619
34,22,Finance,Consultant,Bachelors,148650
51,21,HR,VP,PhD,234872
39,20,Finance,Analyst,PhD,103142
36,26,Operations,Director,Bachelors,210001
25,30,HR,Manager,PhD,196564
55,5,IT,Manager,Masters,106790
32,26,Finance,Manager,Masters,164122
45,33,Sales,VP,Masters,279320
41,11,Sales,Consultant,Masters,77395
56,6,Operations,Director,Bachelors,117366
43,9,Sales,VP,PhD,166211
36,16,Finance,Director,Masters,161596
59,25,Finance,Director,Bachelors,208293
59,20,Sales,Consultant,PhD,127699
34,27,Finance,Manager,PhD,165717
51,1,Operations,Consultant,Bachelors,75691
25,0,HR,VP,Bachelors,122711
55,25,Operations,VP,Masters,250860
43,28,Operations,VP,PhD,255042
49,20,Finance,Consultant,PhD,145812
31,10,HR,Director,Bachelors,151935
38,10,Finance,Director,PhD,147247
32,34,IT,Analyst,Masters,174357
29,33,Finance,VP,PhD,274191
30,23,Finance,Director,Bachelors,179424
37,21,Finance,Analyst,Bachelors,121352
58,4,HR,Director,Masters,127601
27,32,Finance,VP,Masters,259520
33,19,HR,Manager,PhD,130655
29,18,Sales,VP,PhD,190083
47,34,IT,Consultant,Bachelors,185015
22,16,HR,Director,Masters,171777
25,33,Sales,Director,Masters,224210
49,8,HR,Consultant,Masters,91032
57,25,HR,Consultant,PhD,157101
58,1,IT,Manager,Masters,67967
39,8,Operations,Director,Bachelors,130253
28,8,Operations,Director,Bachelors,126022
21,16,HR,Manager,PhD,113635
42,0,Finance,Analyst,PhD,26722
37,24,Sales,Manager,Masters,171913
27,24,Finance,VP,PhD,236736
45,34,Finance,Director,Bachelors,234014
24,2,HR,Consultant,Masters,67212
56,29,HR,VP,Bachelors,264331
26,33,HR,Director,Masters,223060
51,11,HR,Manager,PhD,100696
39,18,Operations,VP,Masters,203797
59,16,HR,Director,Masters,156287
47,9,Operations,Analyst,Bachelors,83316
30,11,Operations,Analyst,Bachelors,78702
46,15,HR,Consultant,Masters,118242
39,23,IT,Director,PhD,173676
59,18,Sales,Analyst,PhD,121627
23,7,Finance,Manager,Bachelors,96728
33,30,Operations,Director,PhD,216708
48,20,Sales,Manager,Bachelors,162482
40,16,IT,Manager,PhD,123171
48,22,Finance,Analyst,Masters,147219
28,15,Finance,Director,Bachelors,167396
59,5,Operations,VP,Bachelors,153196
21,7,HR,Analyst,Masters,58558
23,24,IT,Analyst,Bachelors,127813
33,17,Operations,Director,PhD,163649
48,24,IT,Director,PhD,184956
45,11,HR,Manager,Bachelors,106695
53,14,HR,Director,PhD,159576
58,25,Operations,Manager,Bachelors,160105
26,25,HR,Analyst,Masters,128417
52,31,Sales,Consultant,Bachelors,184729
41,9,Finance,VP,Masters,186599
36,15,Operations,Analyst,PhD,110598
41,6,IT,Director,Masters,134461
31,16,Sales,VP,PhD,192102
57,22,Operations,Consultant,Bachelors,135756
56,25,HR,Consultant,PhD,158584
55,20,HR,Manager,Bachelors,172181
39,21,HR,VP,Bachelors,229292
40,6,HR,Manager,Masters,95904
38,13,IT,Analyst,Masters,105540
34,14,Sales,VP,Masters,199536
35,6,Finance,Analyst,Masters,60664
51,8,IT,Manager,PhD,100496
21,7,IT,VP,PhD,141371
23,22,Finance,Manager,PhD,152126
36,28,Finance,VP,Bachelors,240521
43,17,HR,Manager,PhD,120632
31,30,IT,Consultant,PhD,178967
32,29,Operations,Manager,PhD,176534
30,34,Finance,Consultant,Masters,184854
52,17,Finance,Manager,PhD,163065
36,16,Sales,VP,Bachelors,189812
28,13,Operations,VP,Masters,170557
58,30,Operations,VP,Bachelors,251179
32,23,Finance,Director,PhD,177065
44,34,HR,Analyst,Masters,166275
48,33,Sales,VP,Bachelors,291948
28,2,Operations,Consultant,PhD,52700
48,25,Finance,VP,Bachelors,263464
56,22,Operations,Director,Bachelors,203794
46,14,Sales,Consultant,Bachelors,117783
28,3,Sales,Director,PhD,102998
48,28,IT,Consultant,PhD,159869
48,21,Finance,Manager,Bachelors,166152
57,24,Sales,Analyst,Masters,145454
56,12,IT,Analyst,Masters,107555
47,17,IT,Director,PhD,168154
37,32,Operations,Analyst,PhD,181736
29,15,Operations,Director,PhD,149542
53,1,IT,Director,PhD,116466
40,34,Operations,Director,PhD,230270
33,33,Sales,Analyst,Masters,179408
48,29,HR,Director,PhD,215523
