study_hours,attendance_percentage,assignment_score,previous_sem_marks,sleep_hours,department,final_exam_score
7.17,79.68,46.96,71.47,7.38,CE,77.55
5.47,62.55,101.92,60.88,9.04,CE,77.18
6.36,80.52,48.72,40.95,7.33,,57.81
6.29,82.46,65.56,,4.96,ECE,106.01
7.88,80.3,75.03,,5.31,ECE,69.12
8.82,64.29,59.99,50.79,3.96,CSE,31.16
6.01,73.51,48.89,96.95,4.95,ME,68.23
5.56,80.88,41.57,60.66,6.77,CSE,59.09
2.27,84.34,47.18,66.63,3.17,ECE,29.61
5.77,79.95,65.53,63.86,4.38,ECE,66.34
4.11,81.98,,62.81,9.11,CSE,79.82
1.87,80.16,61.62,62.06,7.1,CSE,59.73
4.56,83.77,51.1,70.4,9.26,CSE,101.14
5.58,72.5,56.95,73.9,9.09,ECE,93.08
3.88,73.72,59.27,26.06,5.12,CSE,11.57
1.36,69.3,61.89,74.05,7.53,CSE,41.08
5.64,67.48,47.51,90.11,6.54,,56.17
2.89,69.71,55.11,88.35,6.09,CSE,43.84
2.29,77.94,74.53,77.0,5.12,ECE,45.81
4.87,71.39,61.37,54.84,3.1,ME,5.85
2.21,,71.17,85.81,6.31,CE,83.97
6.12,75.44,69.98,32.06,7.69,ECE,41.79
5.49,65.59,90.86,57.97,6.53,ECE,54.02
7.28,75.8,62.31,64.19,8.29,CE,82.54
6.56,71.92,51.73,89.65,6.68,ECE,75.0
6.1,72.75,76.29,55.47,5.53,CE,57.82
4.8,,70.9,76.54,7.85,CE,84.01
6.63,83.25,62.39,89.58,8.65,ECE,126.49
,79.24,68.36,69.78,5.79,CSE,59.43
7.54,85.7,62.08,68.34,7.0,CSE,114.43
5.31,86.28,,64.95,5.31,CE,84.17
2.61,63.94,59.25,82.19,6.72,ME,31.97
3.7,70.23,,71.26,7.79,CE,51.28
3.93,79.96,61.08,,6.68,CE,92.96
4.17,67.84,69.31,69.05,10.52,CE,76.8
7.11,106.38,81.49,73.35,3.8,CSE,140.36
6.76,69.22,45.86,70.02,7.63,CSE,60.6
5.59,,72.75,58.35,3.44,CSE,83.72
6.22,68.23,68.89,85.46,6.42,CE,80.89
4.77,88.54,59.37,88.57,4.43,ME,96.31
7.46,64.74,73.47,55.53,6.64,CSE,47.53
4.08,69.11,69.75,82.85,5.56,ECE,42.3
6.66,66.5,67.98,57.16,6.31,ECE,35.2
5.96,64.29,72.51,66.65,5.71,ECE,53.47
8.53,68.47,60.99,76.07,6.29,CE,84.14
7.23,72.6,57.66,72.8,6.86,ECE,81.97
7.05,87.08,89.07,78.89,10.09,CE,150.68
8.05,91.67,79.2,81.03,5.23,ECE,137.28
2.52,73.97,82.97,101.44,9.79,ME,107.02
5.42,87.39,67.21,62.63,9.7,CE,108.68
6.83,55.02,64.03,,7.12,ECE,55.2
6.72,81.51,60.1,66.48,5.51,CSE,87.96
,81.86,55.32,87.5,7.11,CE,99.73
5.65,65.96,69.84,52.31,6.96,,44.36
4.09,73.52,,91.79,6.24,CSE,62.59
4.11,65.21,58.88,75.66,6.6,CSE,50.53
4.08,75.96,76.26,63.48,6.23,CSE,82.35
3.74,72.88,83.04,65.68,6.5,ECE,67.53
6.14,96.84,71.18,61.29,5.75,ECE,120.55
2.61,78.95,72.06,,9.5,CE,90.22
9.54,,,72.73,6.38,CE,108.98
2.35,68.61,53.1,94.63,3.77,CE,39.73
7.39,72.16,73.82,83.42,5.52,ECE,70.41
5.04,71.24,,52.43,8.63,CE,72.35
,61.67,68.46,79.93,5.26,,15.98
7.31,70.89,,,6.31,ECE,53.78
7.2,72.14,53.97,99.38,3.2,CE,74.47
5.85,,68.69,70.59,6.21,CSE,104.89
7.36,72.69,58.84,72.91,5.92,CE,88.11
2.24,67.14,77.88,74.56,10.55,ME,58.22
1.99,72.4,60.97,66.31,9.5,CE,56.9
4.22,71.98,60.95,72.56,6.08,ME,53.74
4.25,64.73,60.3,79.67,5.47,CE,38.31
4.09,56.1,60.53,54.4,6.64,CE,14.93
5.67,79.79,65.86,85.56,6.28,ECE,100.33
,68.65,42.48,60.63,7.93,ECE,23.19
5.95,64.54,50.73,74.36,6.93,ME,58.81
2.82,77.1,77.9,,7.32,ECE,71.95
6.42,86.89,74.6,75.27,8.13,CSE,119.34
7.31,53.94,49.58,90.8,8.47,CSE,53.08
6.63,71.78,83.6,51.54,5.83,ME,72.01
9.13,79.24,60.16,53.99,5.57,,81.32
9.18,66.82,66.16,54.91,7.89,CSE,77.42
6.43,86.14,71.57,80.77,5.23,CE,105.02
0.0,64.42,56.98,73.01,6.91,ECE,-12.59
4.08,84.19,79.32,53.8,8.53,CSE,85.88
5.79,78.69,74.77,41.08,7.72,CSE,63.29
6.18,,73.59,80.2,7.34,ECE,74.93
3.94,74.07,68.81,47.28,6.5,CSE,40.67
,79.49,67.48,66.44,9.19,CSE,100.47
4.12,60.7,50.03,71.96,9.45,ECE,42.94
3.18,72.61,68.25,61.35,6.92,CE,51.46
3.75,64.47,52.52,98.71,7.92,CSE,70.06
4.8,89.11,70.3,70.28,5.36,ECE,89.3
0.73,77.81,47.77,85.19,5.03,CSE,37.58
5.73,83.08,78.03,97.57,6.2,CSE,123.32
2.05,64.03,48.32,,7.24,CE,9.33
2.51,84.18,61.46,70.82,8.46,,89.97
4.22,66.95,51.31,63.8,6.83,ME,27.31
2.42,77.39,58.99,67.85,6.33,ECE,50.97
5.51,65.75,52.83,56.57,7.13,ME,28.89
7.56,75.29,69.42,72.87,6.41,ECE,92.6
6.01,68.89,46.15,46.55,9.03,ME,34.18
7.37,67.88,66.78,91.55,5.68,CE,86.17
4.99,66.82,74.34,67.45,6.17,ECE,64.62
4.41,86.19,62.17,91.79,5.59,ME,94.53
4.9,66.88,84.13,67.59,8.02,CE,65.87
5.29,73.38,71.44,,3.71,ME,56.07
4.51,,69.95,58.69,8.23,CSE,112.36
8.02,76.86,67.44,79.08,6.31,CSE,109.94
3.28,75.77,64.9,92.85,9.22,CE,98.33
7.96,64.41,88.45,99.44,6.24,CSE,110.65
4.3,61.67,69.66,58.41,8.87,CSE,35.42
2.99,88.18,61.46,87.1,7.25,ECE,106.02
5.55,95.42,41.37,69.67,7.16,ME,101.31
,74.76,65.71,67.83,7.02,ECE,72.16
3.79,96.57,73.14,81.13,6.27,ME,123.35
6.37,79.89,61.96,57.42,6.48,CSE,77.39
0.6,,58.34,76.6,9.82,ECE,17.13
5.78,76.16,48.51,36.69,9.07,ME,50.89
4.35,83.71,68.48,88.02,10.11,ME,139.95
-0.3,90.04,66.28,86.37,6.62,ECE,81.87
5.39,68.77,65.52,58.86,9.54,CE,60.55
4.56,63.97,41.4,65.85,10.08,ME,51.43
2.75,106.52,81.35,73.64,9.46,CSE,155.64
8.63,78.07,70.9,64.86,6.99,ME,105.95
4.84,83.83,61.5,67.29,4.66,CSE,67.47
5.95,75.18,54.64,49.5,6.95,ECE,54.9
3.78,67.45,56.29,48.9,7.28,ME,29.53
4.34,81.38,84.71,79.05,5.65,,98.56
3.7,60.03,42.85,68.75,5.61,CSE,-9.75
,94.2,90.5,71.07,9.0,ECE,123.42
2.82,86.27,45.05,63.84,8.55,ME,71.22
5.19,69.51,63.46,72.4,4.18,ME,39.0
,72.2,74.76,75.1,6.58,,89.71
2.15,75.68,82.59,61.83,6.66,ME,53.31
5.77,81.72,49.76,55.08,8.0,ECE,98.64
4.9,78.44,53.43,70.49,5.56,ME,70.99
3.25,73.1,71.47,,5.44,CE,26.15
5.17,78.48,60.23,75.34,5.35,ME,69.33
3.93,78.24,71.18,82.59,8.23,CSE,101.28
7.06,72.47,67.99,81.95,5.23,CSE,86.35
1.77,74.65,84.4,66.56,4.91,CE,42.07
6.79,91.12,59.2,65.97,7.22,ME,100.19
4.9,85.6,48.33,77.55,6.71,CSE,82.02
5.5,71.16,77.62,99.94,5.5,,84.81
6.94,72.51,89.73,79.68,9.63,ME,114.65
4.11,,63.1,56.73,6.96,ECE,14.02
5.79,70.67,60.06,63.69,6.27,ME,44.91
5.8,73.91,71.23,80.35,9.3,ECE,112.62
3.46,64.96,48.87,69.48,5.62,,6.8
5.38,80.01,67.86,85.02,8.46,CE,95.87
1.94,90.59,,94.44,5.83,CSE,111.47
,,68.59,58.7,8.95,CSE,122.17
6.55,61.83,53.65,54.97,7.91,CSE,48.18
7.22,81.35,69.21,76.15,7.73,ECE,117.82
3.61,,57.72,52.68,7.68,CSE,19.95
5.72,85.04,81.27,60.32,6.89,ME,104.74
7.05,77.13,90.98,86.59,8.79,ECE,119.93
4.37,78.56,70.67,69.99,9.23,CE,100.32
5.56,84.97,,96.38,9.2,,112.87
4.85,72.52,46.16,79.31,5.91,CSE,44.52
7.99,66.97,69.41,65.93,8.37,ME,74.04
6.14,89.47,67.3,54.26,7.76,ME,113.84
3.97,79.55,74.84,67.05,6.95,CSE,75.34
4.1,87.53,57.97,59.62,7.49,ME,69.65
,76.34,81.27,78.31,8.76,ECE,100.25
5.65,91.25,53.56,66.21,7.18,ECE,94.75
4.02,,72.11,,2.94,CSE,40.68
6.09,87.95,68.88,82.69,8.93,ME,133.75
7.06,68.56,70.82,64.98,5.73,CE,65.08
5.3,80.31,,87.72,10.82,ECE,101.82
6.57,77.13,,63.53,7.39,ECE,70.99
,74.64,44.78,62.17,7.29,ECE,65.66
5.53,83.74,55.17,72.9,6.29,ECE,79.82
4.06,69.34,82.78,,6.58,CE,78.19
5.45,91.1,59.31,79.54,5.84,CSE,112.54
4.54,52.81,68.93,57.23,7.13,ECE,9.46
6.93,73.53,,103.16,7.07,ME,103.31
5.83,71.79,63.24,61.54,5.76,CE,52.05
5.2,75.13,60.19,58.4,7.34,ECE,65.76
4.38,72.83,56.49,106.4,5.11,ME,77.3
,77.87,50.62,78.47,8.33,ECE,71.0
5.41,58.94,63.46,58.65,5.57,CSE,18.75
5.25,87.73,62.62,62.96,7.77,CE,95.3
4.22,54.93,66.36,65.42,6.46,CSE,9.82
6.68,69.95,64.73,78.2,5.5,CE,58.46
3.12,59.18,65.33,61.59,6.93,ECE,9.32
8.29,71.8,65.34,75.41,3.88,ECE,73.58
5.97,74.3,65.68,,7.79,CE,84.35
3.07,76.7,70.36,66.9,6.49,ME,49.22
2.43,75.77,64.44,84.94,7.72,ME,79.77
3.6,76.33,77.88,,5.46,ECE,75.4
5.43,68.0,,68.32,7.05,ECE,68.67
6.03,80.14,53.75,127.79,7.77,CSE,134.88
3.72,80.16,71.16,76.48,8.09,ECE,83.16
6.89,87.55,81.44,56.49,5.37,CE,118.21
3.16,71.08,62.13,94.23,6.45,ME,69.76
8.13,78.77,46.72,69.01,6.16,ME,92.96
2.92,62.97,75.49,62.69,6.03,,19.17
,82.55,73.18,77.1,5.27,ME,98.23
7.78,72.74,74.77,79.56,7.19,ME,98.01
2.72,81.22,68.92,85.59,7.45,CE,79.14
6.07,73.17,102.32,83.31,7.91,ME,119.23
4.35,90.01,55.92,66.24,4.87,CSE,73.06
7.48,80.86,57.18,70.32,6.21,CSE,95.21
6.92,89.51,65.29,102.3,7.75,ME,160.31
5.25,73.24,54.88,78.27,10.26,ECE,85.86
7.56,77.22,67.22,55.72,7.64,,74.63
5.68,87.77,,51.89,3.27,CSE,78.85
7.25,66.3,69.52,52.16,5.65,CSE,22.93
2.84,61.41,63.41,39.67,6.21,CE,-5.34
5.18,72.01,74.86,40.19,7.13,ME,47.1
7.4,77.11,38.04,62.62,6.09,ME,56.46
6.27,54.96,62.67,51.41,6.6,CE,17.9
6.25,,50.43,79.43,8.74,CSE,105.75
3.22,56.56,68.62,69.04,7.26,CE,30.18
4.19,65.46,73.77,80.29,7.02,ECE,65.12
5.75,55.06,68.97,88.42,8.25,ME,40.51
7.24,65.18,70.0,104.8,6.92,CSE,110.65
5.11,73.74,58.87,86.41,5.52,CE,72.32
5.45,75.18,68.86,80.39,9.63,CSE,92.22
7.41,76.47,,57.75,6.75,ECE,85.75
4.15,,103.32,87.23,7.45,ME,88.23
,82.64,53.63,60.51,5.75,CE,33.49
,73.66,79.36,58.23,6.09,CSE,55.53
8.52,78.62,77.74,,7.8,ME,99.61
6.32,77.66,69.55,68.96,8.04,ME,95.99
2.52,79.82,65.91,83.04,8.11,CSE,77.11
6.87,92.52,55.67,89.07,5.33,ME,133.15
5.28,91.54,56.26,84.94,7.48,ME,109.77
6.36,63.98,58.63,76.13,7.73,CE,53.25
5.4,65.15,65.27,68.81,4.89,ME,30.16
4.97,46.62,61.28,68.41,8.72,CE,21.28
6.0,81.38,85.79,42.98,10.35,,102.35
2.38,88.61,65.72,24.71,7.42,ECE,49.95
6.81,79.37,52.13,34.56,2.62,ECE,36.19
3.92,77.6,56.64,54.87,7.87,CE,51.65
2.52,90.86,66.36,102.0,7.99,CE,129.5
3.15,81.65,58.82,46.04,9.3,,66.63
7.56,59.66,73.54,74.98,5.31,ME,56.06
3.78,66.63,51.83,61.91,6.12,,10.96
4.78,70.64,71.56,68.67,7.01,,67.09
6.01,65.35,52.71,,6.58,ME,29.21
6.42,76.97,72.71,68.65,8.99,ME,103.57
5.68,74.23,54.33,74.15,5.78,ECE,59.37
6.62,83.3,81.09,52.78,5.05,,86.54
4.43,,112.11,74.31,3.87,ME,129.52
6.26,66.26,62.03,65.81,8.98,CE,66.89
6.09,69.08,66.41,,8.92,CE,65.45
7.39,53.1,67.79,84.38,5.86,CE,41.65
3.53,,86.38,80.82,4.52,ECE,43.43
3.43,72.11,48.54,96.02,5.94,CE,70.28
6.15,90.9,75.97,90.99,4.68,ECE,128.55
6.44,83.81,62.41,56.26,5.69,CSE,89.58
6.14,79.57,78.41,76.72,7.51,,104.25
6.49,61.52,68.69,72.56,4.43,ME,39.48
5.66,75.03,71.42,83.86,3.05,CSE,59.81
5.66,71.91,76.18,84.63,5.74,ECE,80.52
5.69,85.57,56.36,43.55,6.31,ME,67.19
4.7,70.34,86.07,68.89,9.36,ECE,87.48
6.42,76.9,63.91,63.47,7.5,ECE,74.7
5.24,73.58,72.47,77.72,5.4,ECE,66.73
7.7,67.41,,60.19,6.3,CSE,61.85
6.65,66.87,68.86,73.39,6.98,CSE,75.7
,,71.27,47.45,7.63,ECE,96.96
8.4,84.01,77.44,,6.11,CE,109.81
9.54,89.89,48.37,,7.76,CSE,135.63
4.78,67.88,70.64,56.55,5.94,CE,42.22
6.24,80.88,75.43,41.33,5.22,CE,68.2
5.14,87.81,77.96,82.79,6.33,,110.85
4.68,83.58,68.73,69.71,9.21,CE,98.07
6.72,86.06,53.45,73.77,8.04,CE,114.47
5.29,60.67,60.15,78.78,5.97,CE,33.55
6.03,,88.27,72.69,5.5,ECE,67.12
6.52,59.95,48.12,71.24,6.88,ECE,32.85
7.51,70.21,61.29,56.58,7.33,CSE,70.26
6.84,63.06,57.25,85.01,9.66,,78.29
2.85,83.79,68.97,90.65,9.18,CE,107.43
1.97,67.92,87.81,42.95,6.91,ECE,29.94
8.11,78.42,58.63,82.81,6.5,ECE,103.42
8.33,84.83,70.67,85.22,7.38,CE,126.61
6.62,106.13,64.41,57.28,8.07,,163.8
5.21,79.18,51.12,75.81,8.28,ECE,97.59
3.01,77.12,61.09,54.76,6.75,CSE,58.61
3.79,74.01,75.16,76.48,3.81,CE,48.96
3.76,,60.08,46.97,8.07,ECE,106.09
3.4,71.57,48.02,67.58,6.37,CE,14.19
7.39,77.77,68.69,61.05,5.76,ME,86.21
5.32,62.83,48.34,56.61,4.6,CE,-5.37
7.25,74.71,60.56,69.23,7.57,CE,76.85
4.56,71.97,57.35,81.49,7.33,CE,58.09
2.42,75.73,45.14,50.57,8.23,ECE,24.88
,74.02,61.63,53.45,4.46,CE,25.32
6.4,69.1,42.9,70.38,8.34,CE,49.39
4.93,65.1,59.04,57.83,6.73,,30.33
5.62,78.73,60.68,87.89,5.91,ECE,89.48
7.85,81.52,45.85,63.71,5.89,ME,76.99
4.77,,64.61,50.51,7.96,CE,63.35
6.9,93.76,66.8,61.35,7.51,ECE,139.6
4.54,74.46,61.73,80.44,2.95,ME,51.15
2.32,89.53,73.66,80.39,6.65,CE,95.98
3.83,83.6,68.69,67.49,8.22,CSE,86.85
1.59,61.2,65.89,69.17,9.44,ME,30.6
6.0,76.6,63.13,86.76,6.18,ECE,77.87
3.79,85.4,62.49,97.39,6.0,ME,91.67
2.95,81.31,63.54,97.81,9.27,ME,101.24
8.26,77.02,49.77,59.0,9.55,ME,99.03
0.85,62.72,70.66,68.71,4.25,CSE,-0.56
3.51,75.86,64.28,84.85,8.69,ECE,71.6
6.39,,73.02,82.74,5.36,ECE,67.12
3.13,69.11,50.76,67.33,8.59,ECE,37.91
3.05,76.2,64.82,87.95,7.87,CE,83.58
7.86,76.78,62.82,47.89,3.73,ECE,56.67
5.58,68.32,54.08,67.19,5.6,ECE,51.23
4.37,78.67,67.1,83.83,11.48,CSE,118.52
6.46,71.71,73.15,75.03,6.55,CE,92.61
4.81,100.6,58.09,87.24,7.18,CE,137.84
6.09,86.73,56.94,64.44,6.96,ME,96.83
3.11,91.69,58.33,94.22,6.8,CE,106.55
6.69,53.27,78.28,61.97,6.82,CE,42.15
1.83,,42.33,81.41,6.32,CSE,-1.01
7.05,94.48,,60.19,7.29,ECE,120.77
3.96,,58.05,68.68,6.28,CE,70.05
4.79,70.35,50.25,109.67,7.75,CE,82.19
4.92,93.01,82.28,,5.99,,97.73
3.53,92.99,51.85,,5.68,CE,94.8
3.26,64.14,61.58,71.47,7.21,CE,28.22
4.06,82.67,62.19,78.14,9.37,CSE,110.4
5.8,76.78,88.44,71.97,6.21,ME,84.48
4.36,70.16,67.37,76.36,6.02,ME,52.04
5.05,68.75,42.91,77.76,5.08,CE,33.98
4.7,70.37,74.94,48.5,8.64,,59.51
7.85,73.66,58.01,83.89,3.34,ECE,64.89
3.8,56.79,52.52,,9.92,CE,32.93
2.95,77.17,69.06,86.51,5.59,ECE,68.16
3.32,71.35,71.46,54.33,8.61,ME,46.21
4.28,79.91,59.2,67.91,6.08,CE,62.36
8.97,61.32,42.05,83.67,6.9,CE,62.04
6.22,,55.05,69.69,6.16,CSE,69.13
4.62,81.4,76.96,74.86,6.3,CE,93.64
6.72,75.78,58.23,72.09,5.78,ME,63.07
4.56,76.26,34.61,100.7,8.02,CE,74.54
4.52,77.57,72.03,70.12,6.38,ECE,68.12
4.61,73.49,66.07,87.01,6.7,CE,74.75
2.69,65.54,52.1,87.06,9.51,ECE,58.25
4.88,72.59,61.58,77.19,6.62,CSE,66.38
2.62,79.74,56.43,79.85,9.8,CE,90.46
2.34,55.4,50.35,72.95,7.31,CSE,2.13
4.39,68.42,,49.81,5.7,CSE,36.95
6.01,65.14,64.25,62.05,8.43,CE,59.88
4.75,69.31,55.14,54.04,5.17,,30.49
1.1,87.19,68.72,72.15,6.92,CE,82.34
,83.27,58.78,50.92,8.99,ECE,81.67
1.18,91.79,72.6,89.67,5.95,CSE,110.19
2.6,85.7,71.99,35.26,7.75,ME,58.23
5.34,83.9,75.25,78.3,5.36,,84.42
0.15,87.84,69.75,34.2,7.4,ME,34.35
1.84,80.09,45.99,83.43,7.4,ECE,65.4
4.2,92.27,,73.37,6.44,,98.12
3.78,71.69,71.85,53.72,8.45,ME,52.28
5.9,74.2,65.29,54.06,9.12,ME,69.53
7.05,76.57,85.35,72.63,9.85,CE,121.49
6.73,80.05,55.49,52.0,6.83,ME,74.64
8.04,79.67,79.47,55.77,8.17,CE,120.46
6.12,88.9,64.7,70.16,8.23,ME,120.4
5.37,69.36,58.38,,10.84,CSE,105.68
,62.55,87.52,92.44,5.84,CE,30.39
1.65,72.51,40.57,76.06,7.07,CSE,27.57
4.56,78.27,65.22,82.44,9.51,CSE,105.57
7.62,91.35,62.41,53.62,8.41,ME,141.7
5.64,65.49,74.0,55.12,7.42,ECE,63.1
4.34,74.91,78.45,72.33,7.0,CSE,74.32
7.04,,70.2,101.33,4.93,CSE,71.1
8.16,77.15,68.03,84.78,6.83,CSE,113.14
